"idx","year","status","score","slug","pdf_file","title"
1,2026,"matched",0.778,"2026_eleuterio-da-rocha_striking-or-grappling-comparing-public-and-officer","2026 - Striking or grappling_comparing public and officer perceptions of police use of force.pdf","Striking or grappling? Comparing public and officers' perceptions of police use of force"
2,2026,"matched",0.6,"2026_tanksley_clarifying-methods-and-interpretations-in-law-enfo","2026 - Clarifying methods and interpretations in law enfrocement mortality surveillance_reponse to Kamal.pdf","Clarifying methods and interpretations in law enforcement mortality surveillance: Response to Kamal"
3,2026,"matched",1,"2026_martaindale_public-opinion-and-the-immediate-entry-dilemma-a-f","2026 - Public opinion and the immediate entry dilemma_A factorial survey experiment on active shooter response.pdf","Public opinion and the immediate entry dilemma: A factorial survey experiment on active shooter response"
4,2025,"matched",0.312,"2025_tanksley_mortality-among-law-enforcement-officers-in-the-un","2025 - Mortality among LEOs in the US_A population wide analysis of the NOMS data.pdf","Mortality among law enforcement officers in the United States: A population-wide analysis of the National Occupational Mortality Surveillance data, 2020-2023"
5,2025,"matched",0.773,"2025_mcallister_shift-schedule-change-from-24-48-to-1-3-2-3-improv","2026 - Shift schedule change from 24_48 to 1323 improves markers of stress and quality of life in career firefighters.pdf","Shift schedule change from 24/48 to 1/3/2/3 improves markers of stress and quality of life in career firefighters"
6,2025,"matched",1,"2025_sutton_virtual-reality-based-active-shooter-training-adde","2025 - Virtual reality based active shooter training Added physical stress increases anxiety but not stress biomarkers.pdf","Virtual reality based active shooter training: Added physical stress increases anxiety but not stress biomarkers"
7,2025,"matched",1,"2025_blair_to-what-are-we-inferring-the-widespread-misuse-of","2025 - To what are we inferring the widespread misuse of inferential testing in the most cited criminology and criminal justice journals.pdf","To what are we inferring? The widespread misuse of inferential testing in the most cited criminology and criminal justice journals"
8,2025,"matched",0.545,"2025_blair_active-attacks-with-motor-vehicles-a-short-report","2025 - Active attacks with motor vehicles A short report.pdf","Active attacks with motor vehicles: A short report and case study of the 2025 New Year's Day attack in New Orleans, LA"
9,2025,"matched",1,"2025_gonzalez_relationships-between-physiological-stress-biomark","2025 - Relationships between physiological stress biomarkers and cardiovascular disease risk factors among career firefighters.pdf","Relationships between physiological stress biomarkers and cardiovascular disease risk factors among career firefighters"
10,2025,"matched",1,"2025_mcallister_markers-of-fitness-stress-and-cardiometabolic-dise","2025 - Markers of fitness, stress, and cardiometabolic disease risk among law enforcement officers.pdf","Markers of fitness, stress, and cardiometabolic disease risk among law enforcement officers"
11,2025,"no-pdf",0.85,"2025_johncox_can-a-virtual-reality-training-scenario-elicit-a-s","","Can a Virtual Reality Training Scenario Elicit a Stress Response Similar to a Realistic Scenario Based Training Scenario?"
12,2024,"matched",0.6,"2024_doyle_oh-a-replication-and-expansion-of-martaindale-et-a","2024 - Oh, @#%$! A replication and expansion of Martaindale et al (2023).pdf","Oh, @#%$!: A replication and expansion of Martaindale et al. (2024)"
13,2024,"matched",0.462,"2024_brimbal_interviewing-and-interrogation-practices-and-belie","2024 - Interviewing and Interrogation Practices and Beliefs, 20 Years Later.pdf","Interviewing and interrogation practices and beliefs, twenty years later: A national self-report survey of American police"
14,2024,"matched",1,"2024_doyle_falseflag-exploring-themes-in-conspiracy-theory-tw","2024 - #FalseFlag Exploring themes in conspiracy theory tweets regarding the Robb Elementary School active shooter event.pdf","#FalseFlag: Exploring themes in conspiracy theory tweets regarding the Robb Elementary School active shooter event"
15,2024,"matched",0.867,"2024_mcallister_impact-of-l-theanine-and-l-tyrosine-on-markers-of","2024 - Impact of L-theanine and L-tyrosine on markers of stress and cognitive performance in response to a virtual reality based active shooter training dril.pdf","Impact of L-theanine and L-tyrosine on markers of stress and cognitive performance in response to a virtual reality based active shooter training drill"
16,2024,"matched",1,"2024_mcallister_stress-response-to-virtual-reality-based-active-sh","2024 - Stress response to virtual reality based active shooter training_Impact of caffeine consumption.pdf","Stress response to virtual reality based active shooter training: Impact of caffeine consumption"
17,2024,"matched",1,"2024_martaindale_can-a-virtual-reality-training-scenario-elicit-sim","2024 - Can a virtual reality training scenario elicit similar stress response as a realistic SBT.pdf","Can a virtual reality training scenario elicit similar stress response as a realistic scenario-based training scenario?"
18,2024,"matched",0.75,"2024_schildkraut_arm-the-educators-but-not-without-conditions-a-qua","2024 - Arm the educators...but not without conditions_ A qualitative assessment of LEOs support for armed teacher policies.pdf","Arm the educators - but not without conditions: A qualitative assessment of law enforcement officers' support for armed teacher policies"
19,2024,"no-pdf",0.225,"2024_sandel_a-scientific-examination-of-the-21-foot-rule","","A scientific examination of the 21-foot rule"
20,2023,"matched",1,"2023_martaindale_wait-for-backup-or-not-how-police-officers-view-th","2023 - Wait for backup or not How police officers view their role when responding to an active shooter event.pdf","Wait for backup or not? How police officers view their role when responding to an active shooter event"
